1,ba_m2,ba_m2_n25.graphml,3
2,ba_m2,ba_m2_n30.graphml,3
3,ba_m2,ba_m2_n35.graphml,3
4,ba_m2,ba_m2_n40.graphml,3
5,ba_m2,ba_m2_n45.graphml,3
6,ba_m2,ba_m2_n50.graphml,3
7,ba_m2,ba_m2_n55.graphml,3
8,ba_m2,ba_m2_n60.graphml,3
9,ba_m2,ba_m2_n65.graphml,3
10,ba_m2,ba_m2_n70.graphml,3
11,ba_m2,ba_m2_n75.graphml,3
12,ba_m2,ba_m2_n80.graphml,3
13,ba_m4,ba_m4_n25.graphml,4
14,ba_m4,ba_m4_n30.graphml,4
15,ba_m4,ba_m4_n35.graphml,5
16,ba_m4,ba_m4_n40.graphml,5
17,ba_m4,ba_m4_n45.graphml,5
18,ba_m4,ba_m4_n50.graphml,5
19,ba_m4,ba_m4_n55.graphml,4
20,ba_m4,ba_m4_n60.graphml,4
21,ba_m4,ba_m4_n65.graphml,5
22,ba_m4,ba_m4_n70.graphml,5
23,ba_m4,ba_m4_n75.graphml,4
24,ba_m4,ba_m4_n80.graphml,5
25,ba_m8,ba_m8_n25.graphml,7
26,ba_m8,ba_m8_n30.graphml,7
27,ba_m8,ba_m8_n35.graphml,6
28,ba_m8,ba_m8_n40.graphml,6
29,ba_m8,ba_m8_n45.graphml,7
30,ba_m8,ba_m8_n50.graphml,7
31,ba_m8,ba_m8_n55.graphml,7
32,ba_m8,ba_m8_n60.graphml,7
33,ba_m8,ba_m8_n65.graphml,7
34,ba_m8,ba_m8_n70.graphml,6
35,ba_m8,ba_m8_n75.graphml,7
36,ba_m8,ba_m8_n80.graphml,7
37,ba_m16,ba_m16_n25.graphml,9
38,ba_m16,ba_m16_n30.graphml,10
39,ba_m16,ba_m16_n35.graphml,10
40,ba_m16,ba_m16_n40.graphml,11
41,ba_m16,ba_m16_n45.graphml,10
42,ba_m16,ba_m16_n50.graphml,11
43,ba_m16,ba_m16_n55.graphml,10
44,ba_m16,ba_m16_n60.graphml,9
45,ba_m16,ba_m16_n65.graphml,10
46,ba_m16,ba_m16_n70.graphml,9
47,ba_m16,ba_m16_n75.graphml,9
48,ba_m16,ba_m16_n80.graphml,10
